Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Gross Outlay Amount,Current Month Deficit Surplus Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-08-31,56824969,56824982,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,4,2025,3,08,31
2025-08-31,56824969,56824985,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,4,2025,3,08,31
2025-08-31,56824969,56824987,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,4,2025,3,08,31
2025-08-31,56824969,56824995,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,4,2025,3,08,31
2025-08-31,56824969,56824998,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,4,2025,3,08,31
2025-08-31,56824969,56824999,September,526989591753.68,446700793440.11,-80288798313.57,1,13,13,130,D,MTH,2,1.12,2025,4,2025,3,08,31
2025-08-31,56824969,56825001,Year-to-Date,4918105525514.85,6734895725143.06,1816790199628.21,1,14,14,140,T,SL,2,1.13,2025,4,2025,3,08,31
2025-08-31,56825003,56825005,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,4,2025,3,08,31
2025-08-31,56825003,56825013,April,850169317772.81,591769368657.85,-258399949114.96,1,22,22,220,D,MTH,2,2.7,2025,4,2025,3,08,31
2025-08-31,null,56824969,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,4,2025,3,08,31
2025-08-31,56824969,56824974,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,4,2025,3,08,31
2025-08-31,56824969,56824977,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,4,2025,3,08,31
2025-08-31,56824969,56824980,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,4,2025,3,08,31
2025-07-31,56654177,56654180,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,4,2025,3,07,31
2025-07-31,56654177,56654182,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,4,2025,3,07,31
2025-07-31,56654177,56654184,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,4,2025,3,07,31
2025-07-31,56654177,56654186,January,513294342651.93,641934549325.42,128640206673.49,1,19,19,190,D,MTH,2,2.4,2025,4,2025,3,07,31
2025-07-31,56654177,56654190,February,296423683822.57,603440881114.84,307017197292.27,1,20,20,200,D,MTH,2,2.5,2025,4,2025,3,07,31
2025-07-31,56654177,56654193,March,367645430943.32,528173752442.68,160528321499.36,1,21,21,210,D,MTH,2,2.6,2025,4,2025,3,07,31
2025-07-31,56654150,56654160,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,4,2025,3,07,31
2025-07-31,56654150,56654162,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,4,2025,3,07,31
2025-07-31,56654150,56654164,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,4,2025,3,07,31
2025-07-31,56654150,56654167,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,4,2025,3,07,31
2025-07-31,56654150,56654170,September,526989591753.68,462304398010.84,-64685193742.84,1,13,13,130,D,MTH,2,1.12,2025,4,2025,3,07,31
2025-07-31,56654150,56654172,Year-to-Date,4918105525514.85,6750499329713.79,1832393804198.94,1,14,14,140,T,SL,2,1.13,2025,4,2025,3,07,31
2025-07-31,null,56654177,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,4,2025,3,07,31
2025-07-31,56654177,56654195,April,850169317772.81,591769368657.85,-258399949114.96,1,22,22,220,D,MTH,2,2.7,2025,4,2025,3,07,31
2025-07-31,56654177,56654199,May,371228857110.76,686880598492.67,315651741381.91,1,23,23,230,D,MTH,2,2.8,2025,4,2025,3,07,31
2025-07-31,56654177,56654202,June,526445351756.97,499435701746.96,-27009650010.01,1,24,24,240,D,MTH,2,2.9,2025,4,2025,3,07,31
2025-07-31,56654177,56654206,July,338491848423.17,629634508710.84,291142660287.67,1,25,25,250,D,MTH,2,2.10,2025,4,2025,3,07,31
2025-07-31,null,56654150,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,4,2025,3,07,31
2025-07-31,56654150,56654151,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,4,2025,3,07,31
2025-07-31,56654150,56654152,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,4,2025,3,07,31
2025-07-31,56654150,56654153,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,4,2025,3,07,31
2025-07-31,56654150,56654154,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,4,2025,3,07,31
2025-07-31,56654150,56654155,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,4,2025,3,07,31
2025-07-31,56654150,56654156,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,4,2025,3,07,31
2025-07-31,56654150,56654157,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,4,2025,3,07,31
2025-07-31,56654177,56654209,Year-to-Date,4346638076843.89,5975153096081.80,1628515019237.91,1,26,26,280,T,SL,2,2.11,2025,4,2025,3,07,31
2025-06-30,56447062,56447080,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,3,2025,2,06,30
2025-06-30,56447062,56447082,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,3,2025,2,06,30
2025-06-30,56447062,56447085,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,3,2025,2,06,30
2025-06-30,56447062,56447087,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,3,2025,2,06,30
2025-06-30,56447062,56447089,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,3,2025,2,06,30
2025-06-30,56447062,56447090,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,3,2025,2,06,30
2025-06-30,56447062,56447092,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,3,2025,2,06,30
2025-06-30,56447062,56447093,September,526989591753.68,462304398010.84,-64685193742.84,1,13,13,130,D,MTH,2,1.12,2025,3,2025,2,06,30
2025-06-30,56447062,56447095,Year-to-Date,4918105525514.85,6750499329713.79,1832393804198.94,1,14,14,140,T,SL,2,1.13,2025,3,2025,2,06,30
2025-06-30,null,56447097,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,3,2025,2,06,30
2025-06-30,null,56447062,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,3,2025,2,06,30
2025-06-30,56447062,56447070,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,3,2025,2,06,30
2025-06-30,56447062,56447072,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,3,2025,2,06,30
2025-06-30,56447062,56447075,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,3,2025,2,06,30
2025-06-30,56447062,56447077,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,3,2025,2,06,30
2025-06-30,56447097,56447099,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,3,2025,2,06,30
2025-06-30,56447097,56447100,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,3,2025,2,06,30
2025-06-30,56447097,56447123,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,3,2025,2,06,30
2025-06-30,56447097,56447125,January,513294342651.93,641934549325.42,128640206673.49,1,19,19,190,D,MTH,2,2.4,2025,3,2025,2,06,30
2025-06-30,56447097,56447127,February,296423683822.57,603440881114.84,307017197292.27,1,20,20,200,D,MTH,2,2.5,2025,3,2025,2,06,30
2025-06-30,56447097,56447129,March,367645430943.32,528173752442.68,160528321499.36,1,21,21,210,D,MTH,2,2.6,2025,3,2025,2,06,30
2025-06-30,56447097,56447131,April,850169317772.81,591769368657.85,-258399949114.96,1,22,22,220,D,MTH,2,2.7,2025,3,2025,2,06,30
2025-06-30,56447097,56447133,May,371228857110.76,686880598492.67,315651741381.91,1,23,23,230,D,MTH,2,2.8,2025,3,2025,2,06,30
